GRANT_CARD_CODE,TAP_IN,TAP_OUT,TIME_IN,TIME_OUT
15310283,85,248,1033,1117
52470243,41,261,928,1005
50847209,221,264,1170,1243
9412838,216,248,1084,1104
79702697,226,266,1101,1159
12520193,21,262,1209,1266
10708099,262,255,828,870
30023303,127,252,462,523
44980487,262,248,520,547
61762869,109,264,1186,1243
13466353,31,252,967,1057
18605646,18,256,1038,1082
47179684,200,257,429,504
89225192,223,248,1062,1104
74331484,223,256,1042,1082
45253837,264,248,420,456
31051360,231,262,1196,1267
51277607,114,256,447,472
19625759,109,248,622,650
43612907,259,254,582,618
44301693,43,257,673,727
18557783,265,253,896,957
49324285,248,258,1154,1167
16079962,109,253,1105,1130
75134936,107,257,1096,1124
54348588,224,262,634,681
14544114,254,248,1147,1168
45695737,250,262,1263,1299
86256925,255,258,1097,1123
75400550,258,253,472,505
36467140,95,252,455,518
75156888,242,255,422,485
79015956,18,253,904,957
13307618,226,254,500,519
81542362,211,226,1030,1054
30022157,258,253,473,506
31344021,50,266,660,742
72437442,219,265,1128,1196
74752227,48,265,1089,1166
65374639,208,50,1159,1195
3465281,77,49,1162,1188
15177855,50,35,744,753
19228704,80,41,882,928
74581321,267,37,396,442
79745848,43,45,1224,1235
28491570,67,46,794,847
19245502,44,38,855,947
88111092,182,46,399,461
23660074,58,35,679,736
69592698,254,44,539,579
22865380,15,50,560,595
81707238,3,46,695,746
79784748,7,44,736,773
10320156,37,44,568,592
87091135,38,39,463,466
49220604,30,44,460,514
64647492,44,36,1107,1131
31033595,162,35,1058,1090
13661816,133,46,521,569
13260951,46,41,1078,1096
85650720,106,35,999,1027
43169777,225,45,461,474
79613169,228,35,419,456
14082302,49,46,549,561
39607749,125,36,583,611
17017419,130,50,558,607
45409654,21,49,1340,1373
11037015,1,35,465,513
34875030,219,35,458,484
12511867,190,262,1044,1111
32112038,139,248,475,535
78849733,265,248,464,503
14629046,248,258,1015,1030
21684248,226,265,885,927
34481247,225,256,1082,1097
16412867,131,261,753,821
52711560,254,226,1006,1026
13046801,17,255,643,692
9405011,248,257,1090,1098
61296557,254,265,785,843
71529653,254,265,591,646
42564610,255,248,517,530
13453848,258,254,404,434
17226109,111,248,505,530
83794576,159,266,1059,1126
35287246,262,266,1295,1312
1079600,248,226,1122,1129
87344619,113,248,547,584
27263181,252,226,1109,1130
992820,109,254,383,405
45371411,2,45,420,472
25377222,18,46,1058,1069
52882840,46,37,1169,1195
83624337,139,50,999,1030
60479441,23,38,425,458
62414432,42,35,571,592
79026645,76,35,1014,1029
27806775,11,49,568,592
15236350,12,42,731,747
35028652,231,35,567,593
71523992,166,50,688,735
52252389,137,37,628,663
51406602,232,46,688,747
37425003,230,50,553,593
17302970,44,35,1066,1091
74174374,37,35,551,559
15121296,4,50,780,817
33040606,45,35,1070,1093
42720555,98,50,1095,1128
88925271,113,37,466,516
16436357,241,49,397,435
31002981,139,35,1062,1092
43886747,42,44,502,513
14476887,245,37,1080,1128
71071760,37,40,1084,1096
14797749,20,42,886,903
12388090,44,35,1069,1094
12512616,185,35,474,513
15673655,254,226,1030,1046
88052282,262,265,1024,1039
74670958,193,226,999,1046
19212147,252,248,486,509
12526942,248,258,561,572
18553558,265,266,1020,1026
11088879,224,261,1046,1087
66003408,252,254,1087,1097
12709737,13,258,927,986
89972931,239,248,484,535
74838251,105,264,1029,1084
33769881,266,265,637,648
81512383,248,256,1089,1097
19222463,265,257,912,948
78776206,225,261,1051,1085
15736870,257,253,660,693
16793802,162,226,1218,1243
27853005,266,262,487,503
75182314,248,252,1052,1077
45796218,230,264,1013,1083
82716126,49,257,1057,1098
36953814,247,263,467,501
44511911,257,248,564,571
46499288,260,262,1173,1185
87419662,245,257,1071,1098
24788920,247,261,1275,1303
88130973,1,255,732,813
60641535,217,258,1232,1269
48529564,235,264,620,762
72559262,224,258,1032,1061
43038890,6,258,643,723
28616138,48,263,1064,1131
88600273,262,266,715,734
51588877,214,253,1087,1119
13801184,249,252,1106,1142
15720873,124,259,1154,1200
19272335,160,264,1197,1252
16787374,250,253,1084,1121
74978519,93,260,711,802
88000391,270,256,480,543
83028163,166,248,489,530
44455052,114,248,542,583
60122496,242,248,548,584
74823816,213,258,1104,1142
11321870,224,265,1149,1201
18562702,149,226,933,984
82630367,229,258,537,582
11117146,260,252,600,648
47910520,250,255,1112,1137
1786394,124,252,762,814
22272643,193,248,1053,1108
43293563,213,257,1135,1183
4201092,65,261,490,562
46975807,249,258,1115,1136
5180895,157,253,975,994
14543383,228,226,549,576
74856935,75,264,456,534
3615350,97,252,538,593
52094238,125,257,1073,1108
49064904,248,160,580,600
84925702,129,255,462,517
13964354,31,264,973,1089
66459722,266,261,569,603
89171738,246,258,1104,1137
48869365,264,258,505,533
44980838,248,257,1097,1108
75630479,244,257,1070,1109
11421473,43,258,386,450
27583546,265,260,498,520
16947454,226,255,506,518
53731543,262,265,995,1011
28849082,75,257,631,719
35133697,75,263,1191,1272
35590424,103,226,1077,1106
12900941,160,226,702,720
48557387,113,248,755,787
42791182,258,248,538,552
49150798,253,248,760,787
81424994,258,248,543,567
71215714,254,226,423,449
47216647,187,265,613,724
64633181,248,257,977,984
11247852,262,265,1002,1014
32954380,248,264,877,913
80094867,210,160,1024,1059
21260054,248,261,1232,1257
51944546,123,253,1040,1085
36963019,246,160,467,496
18950290,266,261,905,934
43282905,155,262,1130,1190
32195022,113,252,523,558
84419525,111,226,467,486
69775462,27,252,441,523
60399132,257,248,528,542
45672586,257,160,887,913
21130584,265,259,531,558
22509771,100,256,633,668
48068028,43,253,627,684
43721550,100,226,864,900
49749446,270,256,1023,1088
17276607,108,261,1001,1035
75327121,267,248,539,600
86163889,43,265,816,901
13009028,265,248,562,601
62707386,143,37,1005,1028
83868672,4,36,399,432
13302583,46,47,921,929
19611780,115,49,567,596
43236186,44,46,1181,1191
32799231,12,48,1156,1194
47486832,213,42,1164,1196
48560875,231,50,375,412
17878683,228,46,731,773
12609197,96,35,409,446
43618882,76,46,1163,1196
70482112,216,37,561,595
89053917,60,37,525,578
75346876,44,39,542,559
80255526,216,45,493,515
44808033,241,45,873,905
66482968,114,35,396,443
88230062,42,35,1068,1090
63215133,3,49,1083,1128
89264720,95,36,521,561
48554021,117,36,501,513
16226738,81,35,486,514
44713220,188,35,1098,1130
49479134,125,36,1101,1129
13911909,1,46,549,609
13255277,89,46,1070,1128
6024220,11,43,700,724
80845620,226,258,587,608
88617171,34,255,435,524
42541523,111,254,428,453
54172446,124,260,438,480
31110420,219,255,534,558
42590081,255,253,494,505
13568883,261,253,910,957
54056346,170,253,499,561
31121773,240,258,1009,1072
1246440,208,260,768,834
27297969,75,262,666,744
14580127,248,258,1238,1253
20148591,241,108,663,728
42574972,55,253,537,629
48251157,168,253,467,506
70368793,68,254,1029,1077
15553551,248,258,1156,1166
28111572,258,265,958,987
47413880,157,260,747,842
15250208,219,265,755,835
53529662,43,262,945,1025
12657952,3,258,1163,1253
13940940,210,265,911,987
44966441,242,266,996,1069
17454456,247,259,1191,1217
53578376,43,258,981,1037
43617021,137,264,1136,1230
50750738,265,108,865,915
72814183,249,265,993,1036
49583115,253,226,491,512
43596197,111,252,483,523
10563916,254,252,550,558
60539108,250,261,1002,1034
21674828,43,265,877,964
32917292,265,248,501,543
44233991,114,44,544,591
39039905,66,46,399,433
16657955,69,50,810,835
64371418,39,35,434,449
14197178,44,38,1214,1235
83513666,3,43,712,757
86010718,18,41,914,928
39483465,46,44,765,773
47904255,246,37,529,578
35302515,186,48,1148,1190
45224100,215,35,798,835
39867212,39,36,581,596
16050839,104,37,810,836
24683888,76,35,734,754
85736453,148,35,553,595
87907768,36,41,714,735
89333947,232,46,708,746
16529940,50,37,425,438
13147445,18,38,1015,1031
13546155,246,36,1044,1091
44357340,5,37,744,772
19022724,41,50,1108,1130
44491186,45,35,1073,1094
12134242,22,46,546,572
88673358,42,45,495,513
47658679,46,42,1081,1093
48455168,86,49,541,608
87208572,130,45,438,473
52928788,36,46,994,1019
50094409,43,35,1066,1094
43639513,101,35,1060,1095
79196542,50,46,1116,1130
34756343,249,260,455,480
71801189,18,255,487,524
80921479,252,257,1091,1124
12557792,245,255,1019,1052
71751708,248,253,1109,1130
51588665,225,265,1045,1096
16334668,262,252,468,518
15791365,226,259,693,713
17451810,6,253,978,1053
64044187,96,258,1173,1252
16359964,258,255,746,774
13027285,252,265,1040,1096
47032886,261,253,465,506
53541131,230,257,1212,1257
78766574,261,255,1253,1286
83731042,252,226,1105,1126
83116972,114,253,471,505
15694296,50,261,1298,1358
85125790,49,266,435,515
44254121,43,264,704,785
85076911,255,248,583,601
28751260,16,262,990,1060
71233264,258,262,1042,1061
18228152,35,257,1106,1184
53536610,267,252,458,524
17172169,160,248,578,601
47967635,248,252,497,523
28538583,212,265,968,1036
42903693,262,108,482,515
4037449,266,258,372,408
74407153,228,46,556,593
46743209,156,42,699,738
50739905,29,47,795,848
88097179,57,37,790,835
17397892,114,43,528,578
48328752,188,43,689,738
39481283,35,48,621,661
26817018,44,50,1168,1189
43050514,244,44,569,591
43581585,101,35,1167,1194
52795770,22,44,573,594
79379197,12,35,1182,1197
15132634,46,38,922,948
13095900,42,39,917,927
26325574,111,44,560,594
13870690,65,254,1248,1333
87759331,98,266,971,1058
70045227,157,262,1018,1077
15142621,7,262,1094,1185
11514387,233,248,516,572
44339346,220,257,1061,1098
51383606,43,262,662,737
17448374,96,253,806,861
12538799,252,264,885,948
48401591,211,256,499,529
19325853,248,253,834,860
53727804,266,262,750,769
10458267,114,253,511,556
17088647,218,257,1062,1099
17089675,192,262,1108,1185
2835435,38,248,1028,1099
86838794,158,261,742,797
54000587,224,248,734,763
18941960,44,253,1118,1160
44809322,248,254,1168,1189
12248371,230,257,1002,1048
52188032,21,265,1135,1201
79851653,124,252,595,648
15217857,265,262,784,802
33332946,226,248,1141,1158
43177134,269,248,414,489
22345658,19,265,1123,1201
18952709,113,248,496,531
6482328,113,264,418,479
12306159,4,256,470,543
79298736,248,260,1184,1205
17461547,248,254,943,970
46561850,96,248,474,530
79397243,44,253,1115,1156
79835461,265,160,502,556
48083088,21,255,1092,1137
71904219,266,252,526,592
16334978,262,266,722,742
54102930,12,253,1163,1216
31369054,56,263,552,670
75296042,242,260,465,520
48840084,86,263,799,917
52300720,260,263,569,590
43498500,61,255,438,513
14544309,260,248,1060,1080
5616300,50,265,351,438
1001255,203,266,648,742
44574246,252,264,803,857
40717923,231,258,480,533
75705926,17,262,857,921
36019298,221,257,1136,1183
89556930,208,255,521,570
31411528,35,255,881,920
31046899,221,264,1036,1109
18737200,214,265,1279,1342
16413961,254,252,582,592
17783274,262,252,546,592
81111133,137,260,779,873
42630077,17,253,950,995
13561619,253,108,601,618
27916205,245,253,1184,1223
46977134,248,259,1069,1085
11337390,228,264,654,720
39806625,230,248,509,552
15325767,76,258,1290,1349
86664225,260,258,1231,1243
69891788,258,253,445,475
12520258,262,264,984,997
43780413,252,160,483,496
64240710,258,253,444,475
22595931,261,226,1110,1140
13128515,108,257,1238,1257
19362459,218,226,422,448
11402046,111,160,516,540
15552742,97,248,500,543
11029557,226,262,1161,1191
70527620,252,265,1028,1088
14959841,232,259,883,950
45559288,217,264,856,1034
17921379,65,160,482,541
48221497,160,257,522,543
48913346,226,265,1041,1088
45882949,163,160,523,541
12691988,44,266,991,1070
51239186,123,252,569,623
74312911,115,264,1134,1229
81981406,20,257,1136,1184
28031905,257,160,885,913
45434549,127,261,463,522
17434603,109,252,493,523
