0,11,16,9,5,1,2,1,3,1,3,0,1,2,0,1,0,0
0,4,11,5,3,6,10,8,11,6,7,12,44,32,7,3,0,0
0,7,25,17,4,2,4,6,6,0,3,2,12,6,3,4,0,0
2,13,62,25,18,7,11,9,8,5,4,9,6,8,4,3,0,2
0,8,34,17,12,1,5,7,7,2,3,8,5,4,2,3,1,0
1,20,53,33,19,14,18,12,15,9,17,6,10,13,1,3,2,1
2,13,38,34,12,5,9,5,5,7,21,12,9,8,5,5,3,1
1,40,99,90,49,25,32,24,22,17,16,19,23,18,5,3,3,0
1,5,11,11,4,8,8,9,6,6,3,10,13,10,2,4,3,0
1,1,7,8,6,2,1,1,1,1,3,2,6,3,2,2,1,0
1,3,22,13,4,0,1,4,2,2,1,1,0,7,0,0,0,1
0,5,20,17,3,3,10,4,7,4,12,8,10,13,2,4,6,0
0,3,21,21,10,6,5,3,8,4,7,7,12,13,3,1,1,0
0,4,28,21,9,9,14,9,5,6,15,8,13,10,2,0,0,1
0,2,17,10,2,2,5,0,2,4,4,1,7,2,0,4,0,0
0,26,28,13,4,2,4,2,9,4,3,8,5,6,5,2,1,0
1,9,25,18,5,2,2,1,4,2,3,3,4,2,0,2,0,0
2,8,45,16,11,0,4,2,3,3,0,1,4,1,9,0,2,0
2,11,56,35,10,4,5,7,13,2,7,2,9,4,1,4,2,0
0,5,17,14,7,4,3,3,2,3,2,3,1,2,1,4,0,0
1,9,32,16,10,6,3,5,6,2,4,4,10,2,1,5,2,1
2,25,56,48,23,5,9,14,7,8,7,4,5,10,3,3,2,4
2,3,30,28,13,7,10,6,11,10,18,12,6,5,2,0,1,0
1,15,48,30,19,6,9,12,6,4,3,5,8,11,3,3,2,1
2,11,47,57,16,5,4,10,9,5,7,2,11,2,1,4,0,0
1,5,17,21,10,1,7,3,1,4,2,0,2,4,0,1,1,0
0,24,78,80,32,22,26,29,25,18,15,14,18,9,11,4,6,0
